Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17,action
96,13,104,22,104,21,0,0,0,0,104,23,101,38,93,31,99,50,99,78,101,103,101,50,101,78,101,103,96,11,99,12,0,0,104,13,boxing
89,21,98,27,100,25,84,37,77,33,97,29,86,40,77,35,92,59,84,76,85,98,100,59,102,82,110,100,0,0,90,20,0,0,93,20,boxing
50,27,53,36,46,35,0,0,0,0,61,37,0,0,0,0,47,62,44,84,45,102,56,62,53,83,50,102,49,25,51,25,0,0,54,25,handwaving
91,29,91,38,83,37,81,50,77,61,99,38,101,52,103,64,87,64,87,84,87,101,94,65,93,85,91,102,90,28,92,27,89,28,93,28,handwaving
92,27,92,35,85,35,77,42,70,46,99,35,107,41,113,44,87,59,87,75,87,89,96,59,97,76,96,89,90,26,93,26,88,27,96,27,handclapping
70,16,79,26,76,25,71,40,67,40,82,27,84,44,71,42,75,55,70,74,70,97,82,55,84,78,87,98,0,0,72,14,0,0,77,15,boxing
99,20,99,31,90,31,84,40,79,40,107,31,113,40,117,44,94,59,93,84,93,102,105,59,106,85,104,103,97,19,101,19,95,20,103,20,handclapping
67,29,69,35,60,34,52,27,51,18,77,35,86,28,86,25,63,61,59,85,57,104,73,61,74,87,74,104,66,28,69,28,64,28,72,27,handwaving
95,25,102,32,107,31,0,0,0,0,99,32,90,41,86,33,99,57,99,75,99,87,98,57,99,75,98,89,0,0,96,24,0,0,98,23,boxing
96,23,106,29,101,30,103,42,99,45,110,29,115,40,107,48,107,51,110,74,126,91,112,52,100,76,97,97,0,0,97,22,0,0,102,20,running
109,16,100,23,92,23,95,38,112,25,108,22,119,23,131,16,98,50,115,77,0,0,106,50,117,78,119,101,107,15,109,14,101,14,0,0,boxing
83,23,84,33,74,32,68,48,64,62,93,33,101,52,107,66,79,67,81,82,82,102,89,67,83,83,83,104,81,22,84,21,79,22,87,22,handwaving
59,17,64,25,58,24,47,32,39,29,70,27,67,42,0,0,54,58,50,80,52,100,64,57,68,78,77,102,0,0,59,15,0,0,60,15,boxing
66,13,58,21,62,20,64,30,64,41,52,20,47,32,49,40,56,48,59,74,62,96,50,45,53,74,61,95,65,12,0,0,61,12,56,12,running
84,18,90,26,87,26,82,36,77,29,93,27,85,35,77,30,88,53,92,80,94,102,93,54,92,78,94,103,82,16,85,16,0,0,90,17,boxing
96,35,96,40,91,40,90,48,89,56,101,40,101,48,102,55,93,58,93,70,93,80,99,58,99,70,99,81,96,34,98,34,94,35,99,34,handwaving
90,20,82,30,80,33,84,47,87,58,84,29,88,44,0,0,84,58,82,75,65,86,87,57,92,72,93,89,87,18,90,19,82,21,0,0,walking
85,20,86,30,76,30,70,42,70,52,95,31,100,46,98,54,78,57,81,82,82,103,91,57,87,83,85,104,84,19,87,19,81,20,90,20,handclapping
66,25,63,31,59,32,59,46,61,57,67,31,67,45,70,56,64,57,67,76,66,95,64,57,64,76,48,89,64,24,67,24,62,24,0,0,walking
80,32,79,37,73,38,68,45,73,48,85,35,97,35,99,33,78,54,76,68,72,82,86,53,91,67,93,82,78,31,81,31,75,31,82,31,boxing
80,27,84,37,73,36,59,33,52,30,93,37,105,36,110,33,79,65,76,86,77,104,88,65,86,86,84,103,79,25,81,25,0,0,86,26,handwaving
94,27,95,35,87,35,76,41,67,45,103,35,109,42,114,50,88,68,87,89,86,102,100,68,102,89,103,103,93,25,96,25,90,25,99,25,handclapping
0,0,84,27,84,25,74,30,63,27,0,0,0,0,0,0,85,59,85,79,84,97,85,59,86,80,84,97,0,0,0,0,0,0,0,0,boxing
90,28,90,36,84,36,81,44,86,42,96,37,96,46,93,44,84,61,81,82,80,101,93,61,95,85,95,102,88,27,91,27,86,29,93,28,handclapping
79,23,77,35,69,35,67,50,67,65,85,34,89,47,89,59,73,65,69,83,65,101,84,63,85,81,88,100,78,22,81,22,75,22,83,23,boxing
99,16,102,25,95,23,93,35,94,52,107,27,107,40,107,53,97,51,101,68,102,88,103,52,101,68,103,89,99,14,101,15,0,0,104,16,boxing
15,18,9,29,6,31,9,44,13,55,11,29,16,40,19,53,13,53,12,71,0,0,18,52,24,68,28,84,13,16,15,16,8,18,0,0,walking
90,27,89,35,81,35,75,46,74,49,96,35,101,44,106,46,85,63,86,80,84,97,95,62,93,80,95,97,89,26,91,26,87,27,93,27,handclapping
93,20,85,29,83,30,92,41,99,35,89,28,95,39,101,31,84,57,87,78,83,98,90,57,84,77,82,98,92,18,0,0,86,20,0,0,boxing
100,19,111,25,109,25,104,44,0,0,113,27,113,44,0,0,108,58,109,79,113,100,110,58,101,82,102,104,0,0,101,17,0,0,107,16,boxing
82,38,82,45,74,45,63,43,61,36,90,45,101,43,99,36,78,70,78,88,79,104,87,70,87,88,87,104,81,37,84,37,79,38,85,37,handwaving
93,24,93,33,86,33,82,40,88,40,101,33,103,40,96,40,87,62,87,81,87,100,97,63,96,81,95,98,91,23,94,23,88,23,97,23,handclapping
61,31,52,39,50,40,50,55,56,67,53,38,0,0,0,0,53,64,55,80,53,96,52,63,54,80,53,97,59,29,61,29,54,30,0,0,walking
66,22,75,32,73,31,68,48,61,51,76,33,74,51,62,50,73,62,76,79,91,92,72,62,63,80,62,98,0,0,67,20,0,0,72,22,walking
87,26,87,33,83,32,81,38,84,33,93,33,93,38,91,33,82,55,81,77,81,95,90,55,89,77,87,95,86,25,89,25,84,25,90,25,handclapping
87,33,87,40,80,40,76,51,70,61,95,40,101,50,107,59,82,63,80,78,80,93,90,64,91,80,90,95,85,31,89,31,83,31,91,31,handwaving
76,14,85,19,90,18,0,0,0,0,82,20,70,22,59,20,87,48,84,67,85,84,83,48,86,67,85,84,0,0,77,12,0,0,81,13,boxing
91,22,87,31,83,31,92,42,101,35,91,29,99,30,104,30,84,55,87,78,84,98,90,55,87,78,84,99,90,20,91,19,84,22,0,0,boxing
87,29,87,35,79,35,77,46,77,57,94,35,102,27,100,20,79,61,81,82,84,100,90,59,90,83,87,100,85,27,88,28,82,27,90,28,handwaving
102,33,102,40,94,39,86,35,80,28,110,40,119,35,125,29,99,63,100,80,102,95,107,63,105,80,104,95,101,31,104,31,99,32,106,33,handwaving
0,0,113,3,0,0,0,0,0,0,0,0,0,0,0,0,109,17,107,31,104,48,114,17,117,27,119,43,0,0,0,0,0,0,0,0,walking
76,19,85,26,79,26,0,0,0,0,92,27,82,41,76,30,82,53,79,80,84,98,88,55,87,80,92,102,76,17,77,17,0,0,83,16,boxing
99,24,99,33,91,33,84,40,85,37,107,33,113,40,110,37,92,61,91,80,92,98,103,62,102,80,99,97,97,23,101,23,94,23,103,23,handclapping
67,20,61,29,56,30,48,44,63,50,68,28,69,38,0,0,53,55,69,72,71,91,60,55,68,72,72,92,64,19,67,18,61,21,0,0,running
98,18,107,25,110,25,0,0,0,0,105,26,104,44,90,51,107,61,96,81,100,104,106,61,110,85,110,106,0,0,99,16,0,0,105,17,walking
64,20,64,32,56,31,49,46,42,58,73,32,81,48,86,59,58,60,64,82,61,102,69,61,61,82,67,104,62,18,66,18,61,20,68,20,handwaving
100,40,100,47,94,47,90,55,86,63,105,47,108,55,112,64,97,63,97,75,97,85,102,63,101,76,101,85,99,40,101,40,97,40,103,40,handwaving
50,29,53,37,46,37,0,0,0,0,59,37,0,0,0,0,47,63,44,84,45,104,57,63,53,84,51,104,50,27,53,27,0,0,0,0,handwaving
0,0,100,45,0,0,0,0,0,0,102,46,104,49,0,0,96,58,90,71,74,78,101,58,106,76,113,87,0,0,0,0,0,0,0,0,running
47,27,55,35,54,35,0,0,0,0,56,36,56,48,55,57,54,57,51,70,56,97,56,57,55,69,58,97,0,0,48,25,0,0,51,26,walking
79,22,85,30,82,29,0,0,0,0,89,31,93,42,87,51,84,56,87,75,90,95,88,57,78,74,88,95,0,0,79,20,0,0,84,21,walking
96,40,94,45,93,45,86,45,0,0,96,45,0,0,0,0,93,56,93,65,92,75,96,56,96,65,96,75,96,39,0,0,94,39,0,0,handclapping
47,11,57,22,60,22,0,0,0,0,55,23,53,36,0,0,0,0,0,0,0,0,56,46,45,82,60,103,0,0,48,9,0,0,54,12,walking
83,19,94,28,90,28,87,43,79,55,98,29,100,46,100,61,87,57,84,82,98,98,92,59,84,82,87,104,0,0,84,16,0,0,90,16,walking
84,25,83,35,76,35,69,44,59,53,90,35,99,46,105,52,78,62,77,83,77,102,88,63,85,83,84,102,82,23,85,23,79,24,87,24,handclapping
91,19,90,30,81,31,77,44,83,40,99,29,106,42,103,37,84,59,81,84,78,102,96,59,93,83,93,100,89,17,93,17,87,18,96,18,handclapping
89,29,93,37,90,37,85,46,84,42,94,37,92,49,84,42,88,60,0,0,0,0,94,60,96,79,0,0,0,0,90,29,0,0,91,29,boxing
80,29,79,33,78,33,66,29,68,24,78,33,66,29,68,24,79,55,76,70,77,83,79,55,81,70,83,83,79,27,80,28,79,28,79,29,handwaving
61,23,56,29,59,29,59,40,0,0,53,29,61,42,66,61,53,59,64,78,56,97,58,60,56,79,52,97,59,22,0,0,56,23,0,0,walking
94,23,94,32,86,31,82,44,86,56,101,33,104,46,101,55,88,59,88,80,91,99,96,59,96,80,99,100,93,22,96,22,90,22,99,22,handclapping
130,16,131,22,127,21,124,29,123,35,135,22,136,30,139,37,130,37,130,47,126,57,133,37,133,46,139,53,130,16,131,16,129,16,133,16,walking
90,39,90,46,84,45,74,44,68,41,97,46,104,46,0,0,85,65,84,80,83,95,93,65,91,80,87,95,88,38,91,38,87,38,93,38,handwaving
67,28,68,37,61,37,48,36,44,33,75,38,77,50,73,46,62,64,61,87,59,107,74,65,76,83,76,105,66,27,68,27,64,28,71,28,handwaving
82,21,88,31,84,30,76,33,71,29,93,33,89,48,81,40,84,60,85,79,86,98,88,60,87,79,86,98,0,0,84,20,0,0,89,21,boxing
97,23,100,32,97,31,90,29,83,27,101,32,87,29,81,28,98,55,0,0,0,0,98,55,99,69,99,83,0,0,99,23,0,0,100,24,boxing
87,30,87,38,80,38,71,45,61,46,93,38,101,44,113,49,81,63,80,83,79,102,91,63,93,85,93,104,86,29,89,29,84,30,90,30,handclapping
90,24,92,35,83,35,76,49,70,58,101,35,107,49,113,63,86,63,84,86,79,106,97,62,95,84,94,102,89,22,93,22,87,23,96,23,handwaving
85,44,85,49,84,50,0,0,0,0,0,0,0,0,0,0,85,63,83,79,86,94,87,62,85,80,87,95,0,0,0,0,84,44,0,0,boxing
77,14,82,22,80,21,73,33,72,25,85,22,77,33,73,25,81,51,82,67,84,84,83,50,84,67,84,85,0,0,78,13,0,0,82,14,boxing
0,0,82,46,85,46,93,47,99,48,79,46,71,46,67,45,84,61,82,71,81,80,80,60,82,71,82,80,0,0,0,0,84,42,80,42,handwaving
90,19,90,28,82,28,81,41,85,46,99,28,102,42,93,44,86,57,84,78,83,95,96,58,97,79,96,97,89,18,92,18,87,18,95,18,handclapping
96,34,96,42,88,42,84,53,84,65,103,42,104,54,104,66,90,68,87,87,86,103,101,68,102,88,103,104,94,33,97,33,93,33,99,33,handwaving
0,0,95,34,98,33,0,0,0,0,91,36,76,41,71,37,101,59,96,74,102,97,97,61,96,76,101,96,0,0,0,0,0,0,91,28,boxing
91,27,91,37,82,36,78,45,73,49,99,37,104,46,110,48,85,61,84,78,80,91,95,61,96,80,98,95,90,25,93,25,87,26,95,26,handclapping
73,18,74,30,66,29,59,42,53,52,82,31,84,44,90,52,68,57,71,78,67,96,79,57,69,78,75,95,71,16,75,16,70,18,78,18,handwaving
79,20,80,31,72,31,64,42,57,50,88,32,94,44,101,50,75,59,76,80,74,97,83,60,76,80,80,97,78,18,81,18,76,20,84,20,handwaving
83,29,83,37,76,37,72,49,73,61,91,37,94,50,96,63,77,62,81,77,83,93,87,62,84,77,82,92,81,28,84,28,80,29,87,29,handwaving
87,21,90,24,0,0,0,0,0,0,88,24,79,25,68,25,87,46,85,71,84,94,88,44,86,72,85,94,0,0,87,20,0,0,87,20,boxing
89,38,84,42,87,41,94,42,101,42,82,42,80,46,99,42,86,55,84,67,84,76,84,55,84,66,83,75,87,37,0,0,86,37,0,0,boxing
88,29,89,38,82,37,79,49,81,43,96,37,97,49,0,0,85,62,86,75,87,94,93,62,90,75,90,95,87,28,89,27,85,29,92,28,handclapping
84,31,83,36,76,37,0,0,0,0,89,36,0,0,0,0,78,65,75,87,74,103,87,65,88,88,89,104,83,29,86,29,80,30,88,30,handwaving
42,27,36,35,35,35,38,47,44,58,37,34,0,0,0,0,34,57,29,75,29,89,36,57,30,74,29,89,41,25,0,0,38,26,0,0,walking
84,20,91,25,88,25,80,30,80,28,93,26,96,47,84,35,84,63,91,83,90,104,92,65,95,82,99,97,0,0,85,18,0,0,89,18,boxing
84,28,83,35,79,34,73,41,74,37,88,34,94,41,92,37,78,56,78,78,78,97,87,57,85,79,84,97,82,27,84,27,80,27,86,27,handclapping
89,18,91,22,83,22,77,17,0,0,100,20,104,13,0,0,90,57,96,81,0,0,87,57,81,80,0,0,87,16,91,16,84,15,96,15,handwaving
88,31,90,37,84,37,80,50,76,62,97,37,101,48,0,0,84,64,84,83,85,98,95,64,93,83,91,99,87,30,90,30,0,0,93,31,handwaving
67,26,68,38,60,38,53,48,44,58,76,38,81,52,0,0,62,65,60,87,59,106,74,64,74,84,75,105,65,25,69,25,63,26,71,26,handwaving
96,28,96,37,88,37,81,44,84,40,102,37,107,45,105,42,90,67,87,87,87,102,101,67,102,86,104,103,93,27,97,27,91,28,99,28,handclapping
88,27,87,36,78,35,64,37,58,36,94,36,106,37,116,35,81,61,81,84,84,102,90,62,90,83,93,104,86,25,90,25,83,27,91,27,handwaving
73,24,79,35,76,35,71,46,0,0,84,35,70,47,0,0,77,55,70,81,63,101,81,55,70,81,63,102,0,0,75,23,0,0,79,25,running
85,16,92,27,93,27,0,0,0,0,91,29,73,32,64,27,86,56,87,78,87,102,87,55,87,78,87,102,0,0,87,15,0,0,91,18,boxing
23,24,13,33,19,35,20,51,22,63,7,31,4,44,0,0,17,61,25,70,35,87,10,62,5,79,0,0,22,23,0,0,17,23,12,22,walking
93,28,93,35,87,34,78,28,75,23,99,35,107,31,114,24,87,57,88,79,88,97,96,57,95,79,93,97,92,27,94,27,90,27,96,27,handwaving
98,17,104,23,107,23,0,0,0,0,101,25,90,29,82,20,99,52,100,71,102,91,103,52,101,72,103,91,99,16,99,16,0,0,101,16,boxing
87,33,93,40,91,38,86,49,0,0,93,41,90,55,84,50,89,60,0,0,0,0,93,61,0,0,0,0,0,0,88,32,0,0,90,33,boxing
65,23,64,34,56,34,50,48,53,48,74,34,79,49,76,45,59,62,67,84,64,105,70,63,61,83,62,104,64,21,67,21,61,23,69,23,handclapping
84,28,84,37,77,36,71,48,64,54,91,37,96,49,101,56,79,61,84,77,83,93,88,61,82,77,82,93,83,27,86,27,81,28,87,27,handclapping
84,27,84,36,77,35,75,46,82,46,92,37,95,46,88,46,80,61,79,78,80,95,89,61,89,80,87,96,83,25,86,26,81,27,89,27,handclapping
36,23,35,28,31,27,27,31,27,36,39,29,38,35,36,35,30,40,31,51,27,59,33,41,33,51,28,58,36,22,38,23,33,23,38,23,running
94,28,93,35,87,35,79,40,70,42,100,36,110,41,118,45,87,57,87,78,87,97,97,57,96,79,94,97,93,27,95,27,90,27,97,27,handwaving
70,28,70,35,63,35,59,46,62,52,78,34,80,46,75,52,65,57,64,76,64,91,75,57,75,76,73,92,69,26,72,26,67,27,74,26,handclapping
81,20,74,28,71,29,73,43,0,0,77,27,84,34,87,32,73,55,73,80,70,97,79,55,0,0,0,0,80,18,0,0,74,18,0,0,boxing
100,19,98,29,89,28,82,41,76,51,107,29,111,40,119,46,93,56,92,75,90,89,101,55,101,76,102,94,98,18,101,18,96,18,103,18,handclapping
104,14,108,20,103,20,102,29,102,36,113,19,119,28,116,37,104,41,101,57,96,71,112,41,114,56,114,70,103,12,105,12,0,0,109,12,walking
148,3,149,5,146,5,144,9,144,13,150,6,152,9,151,13,147,14,147,20,147,27,149,14,149,21,148,27,149,3,0,0,147,3,0,0,running
132,18,124,26,121,27,119,38,119,53,128,25,132,37,0,0,122,51,0,0,0,0,130,49,0,0,0,0,131,17,0,0,127,18,0,0,walking
89,27,90,33,84,33,77,40,70,43,96,33,102,41,109,43,85,57,85,72,84,87,93,56,91,72,92,87,88,25,90,25,87,26,93,26,handclapping
0,0,56,38,0,0,0,0,0,0,0,0,0,0,0,0,50,63,47,85,48,103,59,63,56,85,54,104,0,0,0,0,0,0,0,0,handwaving
0,0,148,4,144,4,143,9,144,16,149,3,152,10,0,0,145,17,141,28,136,39,149,16,150,27,152,37,0,0,0,0,0,0,0,0,walking
75,27,76,36,68,36,62,45,53,42,83,37,90,45,99,42,71,61,72,80,70,95,79,61,77,79,80,95,73,26,76,26,72,27,79,27,handclapping
59,22,69,32,69,31,61,50,55,57,68,33,66,50,57,56,65,65,76,82,87,101,65,65,58,83,54,103,0,0,61,20,0,0,65,22,walking
86,31,87,37,80,37,69,38,61,38,93,37,104,40,113,41,83,55,81,67,83,80,90,56,90,69,91,80,84,29,87,29,83,29,90,29,handclapping
99,37,95,42,88,40,81,35,79,31,101,41,110,37,112,35,90,62,90,79,89,92,99,63,99,79,98,91,98,35,100,35,93,34,0,0,handwaving
77,19,78,30,69,30,67,42,70,47,87,31,90,44,80,48,73,57,73,76,71,91,82,58,84,76,84,93,76,18,79,18,74,19,83,19,handclapping
93,3,91,8,87,8,84,20,87,31,95,8,96,16,0,0,90,31,89,45,77,50,96,29,97,45,97,59,91,3,93,3,88,3,0,0,walking
96,26,96,34,87,34,80,28,76,22,104,33,114,30,119,23,91,63,92,83,92,99,101,62,100,83,99,98,95,25,98,25,92,25,100,25,handwaving
90,23,84,31,76,32,68,44,78,46,93,30,103,32,107,29,79,58,76,78,66,95,91,58,97,76,92,95,87,22,90,21,82,22,0,0,boxing
90,40,89,45,84,45,81,52,80,59,94,46,96,53,96,60,85,62,84,74,84,85,91,62,90,74,89,85,88,40,90,40,87,40,91,40,handwaving
89,20,94,25,97,24,0,0,0,0,92,26,82,26,70,23,93,48,89,73,90,93,90,49,89,72,91,93,0,0,90,19,0,0,91,18,boxing
77,21,86,30,84,29,0,0,0,0,87,31,90,49,85,62,80,62,81,76,79,95,87,63,90,80,105,90,0,0,79,20,0,0,83,20,walking
39,23,46,29,52,28,59,38,57,42,42,30,44,46,39,46,50,54,39,68,30,86,47,54,54,74,75,82,0,0,39,22,47,20,41,22,running
81,24,86,33,83,31,73,31,70,29,90,35,93,53,82,49,81,58,79,76,79,93,89,59,86,80,87,96,0,0,82,23,0,0,85,24,boxing
86,17,79,27,76,28,76,40,83,62,83,25,0,0,0,0,76,55,77,83,59,98,82,49,0,0,0,0,84,15,0,0,80,16,0,0,walking
90,29,90,35,83,35,76,42,70,49,98,35,105,46,113,54,85,57,85,77,87,93,94,57,94,78,96,94,89,27,91,27,87,28,94,28,handwaving
65,27,67,37,59,37,50,45,36,47,76,37,82,50,0,0,61,65,59,87,58,106,73,65,73,83,73,104,64,25,67,25,63,27,70,26,handclapping
66,27,66,37,57,36,47,46,36,53,76,37,84,48,96,55,60,63,59,83,59,101,70,63,71,82,70,102,64,26,67,26,61,26,70,26,handwaving
90,28,91,37,84,37,76,46,67,45,99,37,104,45,114,44,86,62,85,80,86,96,95,62,95,81,93,97,89,27,92,27,87,28,95,28,handclapping
75,25,72,34,64,35,60,45,53,46,79,34,84,45,93,47,67,67,70,79,67,104,78,66,74,78,75,104,73,23,76,23,68,24,0,0,handclapping
18,22,30,30,33,27,0,0,0,0,27,33,16,47,13,38,33,63,40,70,0,0,36,62,41,70,52,90,0,0,18,20,0,0,21,20,boxing
97,40,99,48,93,48,93,58,93,65,104,48,110,57,102,65,96,67,0,0,0,0,102,67,0,0,0,0,96,39,98,39,95,40,100,40,handclapping
87,37,92,48,90,47,84,52,79,48,94,48,86,53,79,48,88,64,89,81,95,102,93,63,91,78,95,102,87,36,88,35,86,37,90,36,boxing
50,27,45,37,43,38,42,52,48,59,47,36,0,0,0,0,42,61,39,75,35,89,48,61,53,74,61,88,49,25,51,25,45,27,0,0,walking
39,25,44,31,45,30,39,40,0,0,42,31,41,43,46,51,39,53,0,0,0,0,42,53,36,80,34,94,0,0,40,24,0,0,41,24,walking
144,25,151,31,148,31,0,0,0,0,153,32,148,52,141,67,144,63,147,84,149,106,148,65,136,78,142,102,0,0,145,23,0,0,150,22,walking
83,22,84,33,74,32,66,48,54,59,93,33,103,51,110,64,79,63,81,82,81,102,90,63,84,83,83,104,81,20,85,20,79,21,87,21,handwaving
97,31,99,39,90,39,79,44,68,46,105,39,116,44,127,47,93,67,90,86,90,102,103,67,105,87,107,104,96,29,99,29,93,29,101,29,handclapping
79,33,79,39,74,39,69,46,62,52,83,39,87,46,92,53,73,55,74,70,74,83,81,55,79,70,76,83,77,33,79,32,76,33,81,33,handwaving
72,22,73,31,64,30,53,31,53,27,81,31,93,31,91,27,67,56,64,79,62,97,79,56,80,80,81,97,71,20,73,20,69,21,76,21,handclapping
83,32,87,38,86,38,82,44,0,0,89,39,87,48,81,44,86,58,87,72,88,85,88,58,88,72,88,85,84,31,84,31,0,0,87,31,boxing
102,25,100,35,93,35,90,47,93,55,107,35,110,48,109,57,95,59,93,81,91,100,105,59,104,82,104,101,100,24,104,24,97,25,105,25,handwaving
81,27,84,35,82,36,74,38,67,36,86,35,74,38,66,36,81,60,84,80,84,96,85,61,85,80,84,96,81,25,83,25,0,0,84,26,boxing
83,30,82,41,74,41,70,55,67,66,90,41,94,52,99,64,76,67,75,87,74,103,87,66,88,87,88,104,81,28,84,29,79,29,87,30,handwaving
73,23,72,31,64,32,55,25,58,18,79,31,89,27,86,20,67,59,68,75,67,103,77,61,74,74,74,104,70,22,74,22,68,23,76,23,handwaving
87,27,87,38,78,38,73,51,68,64,95,37,99,49,103,63,81,65,82,84,86,98,92,65,92,83,93,99,85,25,88,25,82,27,90,26,handwaving
