X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,class
0.17,0.09,0.11,0.11,0.12,0.13,0.06,0.07,0.08,0.09,0.16,0.09,0.06,0.09,0.07,0.13,0.1,0.09,0.12,0.11,0.15,0.07,0.08,0.04,0.07,0.1,0.15,0.15,0.1,0.12,0,9.78,0.24,1733.33,825,2283.33,2.48,3.26,2.35,3.22,3.99,3.22,10.73,Walking
0.08,0.08,0.13,0.08,0.1,0.12,0.12,0.08,0.12,0.11,0.07,0.15,0.12,0.11,0.11,0.07,0.1,0.07,0.08,0.14,0.1,0.08,0.1,0.11,0.1,0.11,0.11,0.09,0.12,0.1,0,7.96,3.33,725,970,1120,2.49,4.08,2.52,3.21,5.34,3.21,10.11,Downstairs
0.09,0.1,0.13,0.11,0.12,0.07,0.07,0.12,0.09,0.12,0.1,0.1,0.09,0.09,0.09,0.13,0.13,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.07,0.07,0.16,0.11,0.12,0.09,0,9.99,-1.47,1900,763.64,3800,3.96,3.15,3.03,5.34,4.09,5.34,11.95,Walking
0.09,0.08,0.13,0.17,0.13,0.13,0.13,0.09,0.07,0,0.05,0.06,0.12,0.14,0.11,0.13,0.11,0.1,0.09,0,0.08,0.09,0.06,0.11,0.11,0.16,0.11,0.09,0.09,0,0,9.35,-0.06,1962.5,1340,1125,2.31,3.48,2.67,3.04,4.22,3.04,10.47,Walking
0.05,0.12,0.1,0.12,0.13,0.07,0.1,0.11,0.15,0.08,0.09,0.07,0.09,0.1,0.11,0.15,0.12,0.11,0.08,0.11,0.1,0.12,0.08,0.12,0.12,0.12,0.07,0.12,0.06,0.11,0,7.12,-0.13,1012.5,1862.5,1683.33,6.91,2.82,2.12,8.52,3.62,8.52,11,Walking
0.11,0.11,0.07,0.12,0.09,0.1,0.08,0.1,0.12,0.11,0.09,0.12,0.09,0.08,0.1,0.12,0.09,0.1,0.11,0.12,0.1,0.12,0.12,0.1,0.12,0.09,0.09,0.08,0.09,0.11,0,8.48,-1.55,1475,3200,1483.33,4.87,3,2.82,5.6,3.51,5.6,10.91,Walking
0.09,0.16,0.25,0.16,0.18,0.11,0.07,0.01,0,0,0.04,0.1,0.09,0.09,0.08,0.12,0.11,0.12,0.11,0.17,0.25,0.1,0.1,0.13,0.11,0.08,0.07,0.06,0.05,0.08,0,9.77,-0.38,3325,1870,2625,2.69,3.23,2.36,3.63,3.9,3.63,10.84,Walking
0.11,0.08,0.11,0.1,0.13,0.14,0.12,0.1,0.07,0.07,0.04,0.12,0.09,0.11,0.09,0.12,0.14,0.08,0.09,0.14,0.09,0.04,0.09,0.1,0.1,0.12,0.14,0.12,0.11,0.11,0,7.58,0.45,4450,2225,3325,5.93,3.22,2.62,7.05,4.05,7.05,10.63,Walking
0.13,0.1,0.09,0.17,0.09,0.1,0.14,0.06,0.05,0.09,0.07,0.1,0.07,0.08,0.1,0.08,0.17,0.06,0.12,0.16,0.08,0.12,0.09,0.07,0.09,0.09,0.1,0.16,0.12,0.11,0,8.06,0.49,3275,2233.33,2566.67,5.59,3.58,2.87,6.85,4.41,6.85,11.04,Walking
0.09,0.12,0.07,0.09,0.14,0.12,0.08,0.09,0.12,0.09,0.14,0.08,0.11,0.1,0.1,0.11,0.08,0.1,0.13,0.08,0.06,0.1,0.13,0.08,0.09,0.12,0.14,0.11,0.09,0.1,0,4.93,0.18,1292.86,2800,3375,8.84,2.84,1.99,9.82,3.85,9.82,11.27,Walking
0.11,0.12,0.1,0.09,0.09,0.07,0.11,0.09,0.13,0.12,0.1,0.13,0.06,0.11,0.13,0.08,0.08,0.12,0.09,0.11,0.11,0.1,0.08,0.11,0.14,0.13,0.1,0.09,0.08,0.1,0,8.86,0.68,1075,1190,2166.67,4.67,3.13,1.93,5.5,3.9,5.5,10.51,Downstairs
0.09,0.1,0.11,0.09,0.09,0.13,0.12,0.09,0.11,0.1,0.1,0.11,0.1,0.09,0.12,0.09,0.09,0.12,0.12,0.01,0.11,0.14,0.11,0.07,0.09,0.09,0.1,0.1,0.13,0.1,0,9.92,0.22,2275,361.11,1285.71,4.81,6.74,4.06,6.1,8.04,6.1,13.81,Jogging
0.07,0.06,0.07,0.14,0.11,0.14,0.1,0.14,0.12,0.08,0.04,0.1,0.1,0.15,0.14,0.13,0.11,0.09,0.09,0.08,0.07,0.08,0.09,0.1,0.11,0.09,0.13,0.15,0.12,0.09,0,9.13,2.61,1125,1250,1750,2.1,2.89,1.82,2.74,3.71,2.74,10.13,Downstairs
0.11,0.1,0.11,0.18,0.1,0.13,0.13,0.05,0.05,0.07,0.06,0.13,0.1,0.12,0.11,0.1,0.11,0.16,0.08,0.06,0.09,0.06,0.08,0.08,0.11,0.12,0.13,0.11,0.15,0.1,0,9.53,1.88,1600,3850,1450,1.97,3.09,1.87,2.62,3.71,2.62,10.41,Walking
0.01,0.01,0.02,0.08,0,0.13,0.3,0,0.4,0.08,0.02,0.02,0.11,0,0,0.41,0,0.31,0,0.13,0.07,0.16,0,0,0.41,0,0.32,0.05,0,0.01,0,3.04,8.01,272.06,309.68,293.94,4.31,0.04,0.03,4.31,0.05,4.31,9.59,Sitting
0.13,0.09,0.15,0.09,0.07,0.12,0.09,0.1,0.07,0.11,0.12,0.06,0.13,0.07,0.09,0.09,0.09,0.14,0.11,0.1,0.06,0.11,0.18,0.1,0.09,0.1,0.08,0.11,0.1,0.1,0,8.97,2.53,3025,987.5,2237.5,1.9,3.83,1.59,2.54,4.69,2.54,9.86,Downstairs
0.13,0.1,0.14,0.09,0.09,0.11,0.16,0.08,0.11,0.02,0.07,0.11,0.11,0.09,0.12,0.11,0.13,0.08,0.13,0.07,0.08,0.12,0.14,0.15,0.09,0.12,0.1,0.05,0.08,0.09,0,9.32,1.23,3075,606.67,1366.67,2.84,3.21,2.06,3.44,3.87,3.44,10.36,Walking
0.11,0.1,0.1,0.11,0.08,0.11,0.07,0.09,0.13,0.11,0.11,0.15,0.09,0.09,0.11,0.1,0.07,0.08,0.12,0.11,0.12,0.11,0.15,0.1,0.1,0.1,0.07,0.09,0.09,0.1,0,5.65,-0.43,760,2166.67,3275,8.61,3.09,2.24,10.28,4.16,10.28,11.62,Walking
0.06,0.09,0.03,0.15,0.09,0.13,0.13,0.11,0.14,0.02,0.12,0.11,0.12,0.07,0.12,0.08,0.09,0.12,0.12,0.02,0.1,0.11,0.09,0.09,0.09,0.1,0.08,0.11,0.11,0.14,0,6.15,0.13,491.67,420.45,2033.33,10.06,8.14,4.7,11.99,9.32,11.99,15.64,Jogging
0.16,0.12,0.11,0.07,0.08,0.07,0.11,0.1,0.12,0.08,0.11,0.1,0.1,0.09,0.09,0.11,0.1,0.11,0.1,0.11,0.15,0.09,0.1,0.09,0.09,0.09,0.08,0.1,0.14,0.09,0,10.08,0.82,3600,877.27,2083.33,2.38,4.13,3.92,3.03,5.06,3.03,11.74,Walking
0.05,0.09,0.07,0.08,0.12,0.08,0.16,0.14,0.11,0,0.08,0.16,0.06,0.1,0.09,0.1,0.12,0.1,0.12,0,0.11,0.11,0.07,0.14,0.09,0.07,0.13,0.12,0.09,0,0,8.96,0.61,2616.67,384,1570,2.79,8.02,4.09,3.63,9.1,3.63,12.64,Jogging
0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0,9.04,-0.1,725,693.75,2416.67,3.46,2.66,1.62,4.68,3.72,4.68,10.17,Upstairs
0,0.03,0.05,0.07,0.08,0.12,0.12,0.13,0.2,0.2,0.15,0.12,0.09,0.07,0.07,0.07,0.1,0.14,0.07,0.05,0.07,0.08,0.14,0.12,0.1,0.07,0.1,0.11,0.1,0.13,0,7.95,-0.13,590.63,410.87,4725,8.54,7.55,5.57,10.29,8.45,10.29,15.49,Jogging
0.09,0.12,0.1,0.11,0.11,0.11,0.11,0.07,0.1,0.09,0.08,0.11,0.12,0.11,0.12,0.12,0.09,0.09,0.14,0.04,0.12,0.09,0.08,0.1,0.12,0.11,0.13,0.08,0.1,0.09,0,0.52,0.61,3825,3875,2800,9.45,3.71,3.59,10.9,4.61,10.9,11.53,Upstairs
0.09,0.13,0.08,0.12,0.1,0.05,0.14,0.09,0.1,0,0.11,0.08,0.11,0.09,0.09,0.13,0.1,0.12,0.07,0,0.1,0.13,0.09,0.07,0.07,0.13,0.14,0.1,0.09,0,0,9.18,-0.5,1264.29,325,2062.5,7.61,7.46,3.61,8.62,8.96,8.62,15.27,Jogging
0.1,0.11,0.11,0.1,0.13,0.09,0.1,0.07,0.11,0.1,0.09,0.1,0.1,0.13,0.13,0.08,0.09,0.1,0.1,0.11,0.11,0.12,0.11,0.08,0.09,0.1,0.1,0.09,0.11,0.11,0,0.33,-5.47,1037.5,2450,2975,9.21,5.63,4.12,10.89,7.06,10.89,13.93,Walking
0,0,0.05,0.36,0.39,0.13,0.06,0.01,0.02,0,0,0,0.02,0.02,0.11,0,0.37,0.48,0.02,0,0,0.01,0,0.05,0.26,0.25,0.23,0.16,0.06,0,0,6.76,5.68,384.78,270,316.13,5.04,0.03,0.05,5.04,0.05,5.04,10.17,Sitting
0.09,0.11,0.11,0.12,0.08,0.12,0.09,0.12,0.08,0.08,0.09,0.1,0.09,0.08,0.12,0.14,0.12,0.08,0.08,0.1,0.12,0.08,0.1,0.11,0.13,0.1,0.08,0.1,0.1,0.09,0,9.06,0.28,978.57,1220,2000,6.63,3.24,3.28,8.24,4.27,8.24,12.99,Downstairs
0.12,0.15,0.14,0.13,0.08,0.11,0.14,0.07,0.06,0.03,0.11,0.1,0.08,0.11,0.14,0.12,0.09,0.1,0.11,0.07,0.08,0.09,0.14,0.1,0.13,0.13,0.11,0.09,0.05,0.09,0,-2.76,-1.38,1260,350,2200,7.79,5.87,4.38,10.13,7.48,10.13,12.08,Jogging
0,0.02,0.05,0.07,0.08,0.09,0.17,0.17,0.19,0.17,0.08,0.13,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.05,0.1,0.12,0.08,0.15,0.12,0.1,0.06,0.08,0.13,0.09,0,8.29,-1.04,519.44,375,1730,8.04,6.71,5.03,9.74,7.7,9.74,14.75,Jogging
0,0,0.02,0,0.01,0.08,0.19,0.18,0.24,0.31,0.16,0.09,0.06,0.05,0.1,0.15,0.13,0.15,0.11,0.03,0.14,0.11,0.12,0.1,0.14,0.09,0.08,0.06,0.06,0.13,0,8.22,0.67,2300,1025,1180,5.96,2.91,2.99,6.66,3.43,6.66,10.98,Walking
0.11,0.1,0.18,0.13,0.08,0.09,0.1,0.13,0.06,0.04,0.09,0.09,0.07,0.1,0.14,0.1,0.11,0.12,0.11,0.09,0.08,0.09,0.08,0.1,0.07,0.1,0.12,0.18,0.09,0.13,0,7.22,1.55,2650,890.91,1450,6.27,5.23,3.44,8.02,6.22,8.02,11.59,Jogging
0.13,0.12,0.07,0.08,0.1,0.11,0.09,0.09,0.12,0.1,0.12,0.09,0.09,0.1,0.09,0.08,0.09,0.11,0.13,0.11,0.12,0.1,0.11,0.08,0.1,0.11,0.08,0.11,0.1,0.11,0,7.08,0.19,1783.33,1035.71,1975,8.37,5.9,4.11,9.95,6.76,9.95,13.26,Upstairs
0.11,0.09,0.08,0.1,0.12,0.12,0.08,0.15,0.08,0.09,0.09,0.11,0.09,0.09,0.11,0.11,0.11,0.1,0.11,0.09,0.1,0.07,0.06,0.11,0.1,0.1,0.16,0.11,0.12,0.1,0,10.1,1.27,466.67,840.91,2183.33,2.08,3.57,2.72,2.74,4.47,2.74,11.06,Upstairs
0.05,0.15,0.08,0.13,0.1,0.1,0.08,0.1,0.11,0.04,0.11,0.14,0.08,0.1,0.12,0.1,0.07,0.14,0.08,0.02,0.13,0.14,0.09,0.1,0.12,0.07,0.1,0.11,0.08,0.09,0,6.05,-1.14,378,470,2700,9.64,7.84,3.96,11.9,9,11.9,14.86,Jogging
0.04,0.08,0.13,0.14,0.13,0.22,0.14,0.07,0.05,0.02,0.01,0.07,0.1,0.13,0.12,0.14,0.15,0.16,0.12,0.02,0.04,0.1,0.06,0.06,0.1,0.12,0.15,0.15,0.13,0.13,0,10.13,-0.66,1650,2700,2700,0.97,1.86,0.96,1.26,2.25,1.26,10.3,Downstairs
0.13,0.08,0.08,0.12,0.09,0.1,0.08,0.15,0.09,0.05,0.06,0.13,0.06,0.07,0.11,0.12,0.15,0.09,0.08,0,0.12,0.11,0.12,0.09,0.14,0.14,0.05,0.05,0.09,0.11,0,8.83,-0.74,680.77,531.25,1850,10.86,7.7,3.79,12.56,8.45,12.56,16.9,Jogging
0.02,0.02,0.02,0.06,0.02,0.02,0.06,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.04,0.05,0.05,0.02,0.04,0.02,0.04,0.01,0.02,0.04,0.03,0.02,0.05,0.02,0.04,0.04,0,2.34,0.78,633.33,400,650,0.51,1.86,0.72,2.56,7.5,2.56,2.75,Downstairs
0.09,0.07,0.11,0.1,0.09,0.14,0.11,0.07,0.11,0.13,0.13,0.14,0.12,0.1,0.11,0.09,0.06,0.1,0.07,0.09,0.07,0.07,0.12,0.1,0.1,0.12,0.09,0.1,0.14,0.12,0,5.85,-0.91,1278.57,1340,2800,8.58,3.19,2.43,9.78,4.25,9.78,11.68,Walking
0,0.05,0.12,0.08,0.09,0.15,0.11,0.13,0.14,0.14,0.05,0.06,0.07,0.1,0.08,0.15,0.09,0.05,0.07,0.22,0.08,0.07,0.21,0.12,0.1,0.1,0.07,0.09,0.09,0.1,0,8.17,-0.79,4450,303.23,1483.33,7.98,7.13,5.35,9.41,8.04,9.41,14.8,Jogging
0.12,0.07,0.08,0.12,0.1,0.11,0.11,0.12,0.09,0,0.1,0.1,0.11,0.09,0.11,0.09,0.1,0.13,0.1,0,0.1,0.09,0.14,0.12,0.11,0.09,0.08,0.09,0.13,0,0,9.81,-0.45,2500,593.33,2150,3.71,4.51,2.52,4.61,5.24,4.61,11.42,Walking
0.08,0.06,0.05,0.11,0.13,0.19,0.11,0.09,0.1,0.1,0.12,0.1,0.12,0.1,0.13,0.09,0.14,0.09,0.04,0.08,0.05,0.07,0.08,0.07,0.15,0.19,0.15,0.07,0.1,0.1,0,9.57,1.14,2916.67,1266.67,2233.33,3.3,3.96,2.97,4.21,4.77,4.21,11.3,Walking
0.1,0.13,0.05,0.15,0.15,0.06,0.07,0.08,0.1,0.12,0.13,0.16,0.08,0.13,0.08,0.07,0.06,0.08,0.12,0.1,0.08,0.12,0.08,0.11,0.09,0.08,0.14,0.12,0.15,0.05,0,4.64,-0.06,1116.67,1700,3400,8.8,3.11,2.02,9.94,4.29,9.94,11.19,Walking
0,0.29,0.46,0.21,0.03,0.02,0,0.01,0,0,0,0,0,0.01,0.02,0.07,0.17,0.26,0.38,0.11,0.06,0.23,0.32,0.24,0.11,0.03,0.01,0,0.01,0,0,9.91,0.13,1200,200,983.33,0.38,0.09,0.24,0.54,0.13,0.54,9.93,Standing
0,0,0.02,0.06,0.06,0.15,0.17,0.09,0.17,0.29,0.09,0.13,0.04,0.06,0.09,0.07,0.07,0.08,0.11,0.18,0.07,0.09,0.17,0.12,0.15,0.08,0.08,0.08,0.07,0.11,0,7.55,-0.64,1200,323.33,2225,6.83,7.82,5.43,7.99,8.81,7.99,14.3,Jogging
0.19,0.19,0.15,0.12,0.16,0.08,0.06,0.04,0.01,0.01,0.09,0.06,0.08,0.06,0.14,0.15,0.08,0.1,0.13,0.13,0.12,0.11,0.09,0.07,0.1,0.08,0.15,0.1,0.09,0.12,0,9.98,0.07,800,2237.5,1850,2.5,3.38,3.26,3.23,4.12,3.23,11.26,Walking
0.08,0.07,0.09,0.11,0.13,0.14,0.1,0.11,0.1,0.05,0.08,0.06,0.12,0.12,0.1,0.08,0.09,0.05,0.08,0.22,0.17,0.06,0.08,0.07,0.09,0.11,0.11,0.12,0.09,0.13,0,2.16,1.78,314,250,2900,7.78,4.35,4.75,10.2,5.56,10.2,11.22,Jogging
0.09,0.09,0.12,0.12,0.1,0.08,0.08,0.11,0.12,0.11,0.12,0.12,0.08,0.1,0.08,0.08,0.09,0.13,0.11,0.08,0.13,0.07,0.1,0.11,0.09,0.08,0.1,0.11,0.13,0.11,0,10.9,-0.52,2750,664.29,3025,4.38,4.22,2.52,5.27,4.97,5.27,12.63,Walking
0.12,0.12,0.12,0.11,0.08,0.08,0.13,0.08,0.08,0.11,0.1,0.11,0.12,0.11,0.1,0.08,0.07,0.11,0.08,0.15,0.09,0.12,0.1,0.1,0.1,0.06,0.08,0.11,0.17,0.08,0,9.86,0.24,2300,1200,4650,2.3,3.28,2.37,2.97,4,2.97,10.69,Walking
0,0,0,0.01,0.03,0.02,0.06,0.14,0.15,0.22,0.1,0.17,0.14,0.13,0.05,0.03,0.01,0,0.01,0.01,0,0,0,0.01,0.1,0.09,0.1,0.12,0.17,0.06,0,5.02,0.31,2275,392.31,600,2.52,1.88,0.14,4.06,3.03,4.06,5.64,Standing
0.1,0.09,0.08,0.08,0.09,0.09,0.08,0.1,0.06,0.1,0.11,0.08,0.09,0.05,0.09,0.08,0.11,0.11,0.1,0.07,0.09,0.1,0.08,0.06,0.07,0.08,0.11,0.08,0.11,0.09,0,7.5,-0.36,2200,2283.33,1775,4.81,2.13,1.52,6.57,3.19,6.57,9.42,Upstairs
0,0,0.01,0.03,0.05,0.03,0.04,0.07,0.13,0,0.3,0.2,0.2,0.13,0.06,0.08,0.03,0.02,0,0,0.03,0.12,0.13,0.12,0.08,0.14,0.11,0.12,0.07,0,0,4.46,-0.08,2583.33,2012.5,2225,8.19,2.57,2.68,9.35,3.16,9.35,10.62,Walking
0.14,0.13,0.08,0.08,0.1,0.07,0.09,0.12,0.09,0.12,0.08,0.16,0.12,0.08,0.09,0.07,0.08,0.1,0.13,0,0.11,0.1,0.11,0.09,0.12,0.09,0.06,0.14,0.13,0.08,0,8.29,1.61,1875,377.27,4175,4.5,8.84,4.68,5.57,9.44,5.57,13.51,Jogging
0.07,0.07,0.07,0.07,0.06,0.08,0.08,0.05,0.09,0.06,0.06,0.07,0.08,0.07,0.08,0.07,0.11,0.05,0.05,0.07,0.08,0.05,0.06,0.09,0.08,0.08,0.06,0.09,0.03,0.1,0,6.62,-0.85,1625,1008.33,1625,2.89,3.54,2.2,5.21,6.1,5.21,8.28,Walking
0.08,0.12,0.09,0.14,0.09,0.11,0.12,0.13,0.05,0.09,0.12,0.09,0.1,0.14,0.08,0.08,0.11,0.11,0.09,0.09,0.07,0.13,0.11,0.08,0.09,0.11,0.11,0.1,0.07,0.15,0,8.69,-0.15,2800,977.78,2800,6.3,4.48,2.95,7.1,5.41,7.1,12.2,Walking
0.12,0.11,0.11,0.11,0.13,0.13,0.11,0.07,0.06,0.08,0.06,0.12,0.07,0.09,0.07,0.11,0.1,0.14,0.11,0.16,0.08,0.12,0.1,0.08,0.09,0.13,0.08,0.14,0.1,0.12,0,7.95,0.45,1580,1975,1675,5.66,3.47,2.9,6.92,4.27,6.92,11.01,Walking
0.12,0.07,0.13,0.12,0.08,0.14,0.09,0.07,0.13,0.09,0.12,0.11,0.07,0.09,0.15,0.09,0.09,0.09,0.06,0,0.18,0.12,0.06,0.07,0.07,0.13,0.12,0.04,0.08,0.15,0,8.37,-2.01,3100,346.3,1050,5.46,8.53,8.62,7.05,10.63,7.05,17.91,Jogging
